Country,advanced,high,intermediate,low,Wave,Benchmark,prefix,advanced_se,high_se,intermediate_se,low_se
Singapore,35.42,71.09,89.72,96.66,1,0,3,1.4,1.6,0.9,0.5
Ireland,26.94,67.20,90.89,97.78,2,0,,1.3,1.5,0.7,0.4
Northern Ireland,23.25,60.71,87.10,96.83,2,0,2 † ,1.2,1.5,1.0,0.5
Hong Kong SAR,20.85,68.21,92.29,98.28,1,0,2 †,1.4,1.8,1.0,0.4
Russian Federation,20.79,62.61,89.23,98.36,1,0,,1.3,2.0,1.4,0.4
England ⋈,18.17,56.59,86.35,97.03,1,0,,1.2,1.3,0.9,0.4
United States,17.96,52.20,80.92,94.51,2,0,2 ≡,2.1,3.2,2.9,1.5
Bulgaria,15.88,49.06,78.37,92.88,1,0,,0.8,1.4,1.4,0.9
Croatia,15.47,56.17,87.97,98.08,2,0,†,1.0,1.5,1.0,0.4
Sweden,14.58,49.71,80.82,95.28,1,0,2,0.9,1.2,0.9,0.6
Finland,14.27,53.24,84.45,96.48,1,0,,1.0,1.4,1.0,0.5
Lithuania,14.14,54.34,86.17,97.11,2,0,,1.1,1.4,0.8,0.4
Australia ⋈,14.06,48.05,80.24,94.24,1,0,,0.7,1.3,1.0,0.5
Poland,13.78,51.59,85.28,97.21,1,0,,0.8,1.5,1.0,0.5
Hungary,13.37,49.45,79.25,94.13,2,0,,0.9,1.6,1.5,1.0
United Arab Emirates,11.77,33.70,57.59,75.03,2,0,,0.4,0.6,0.7,0.7
New Zealand,11.32,40.66,71.27,89.88,1,0,†,0.8,1.1,1.0,0.6
Czech Republic,11.22,47.29,81.54,96.01,1,0,,0.8,1.3,1.0,0.5
Denmark,10.77,47.53,81.30,95.95,1,0,2 †,0.8,1.3,0.9,0.6
Norway (5),10.72,47.32,80.81,95.82,1,0,,0.6,1.3,1.0,0.6
Chinese Taipei,10.46,49.99,84.54,96.86,1,0,,0.6,1.4,1.0,0.4
Macao SAR,8.56,44.69,81.83,95.92,1,0,,0.7,0.7,0.6,0.4
Latvia,8.46,40.37,77.59,94.29,2,0,,0.7,1.4,1.4,0.7
Germany,8.28,39.14,74.64,93.59,1,0,,0.7,1.2,1.1,0.5
Italy,8.24,44.45,82.74,97.18,1,0,2,0.6,1.5,1.0,0.3
Israel ⋈,8.23,35.43,67.23,87.96,1,0,3,0.7,1.1,1.1,0.8
Slovak Republic,7.95,42.39,79.22,93.65,1,0,†,0.8,1.7,1.2,0.8
Malta,7.84,36.35,69.72,90.24,1,0,,0.6,1.3,1.4,0.9
Austria,7.25,40.53,79.53,95.92,1,0,,0.7,1.6,1.2,0.4
Albania,6.80,32.59,69.26,92.12,1,0,2,0.7,1.6,1.7,0.9
Netherlands,6.43,37.31,78.96,96.45,1,0,≡,0.7,1.4,1.3,0.7
Cyprus,6.22,32.05,69.14,91.79,1,0,,0.6,1.4,1.5,0.7
Qatar,6.17,26.69,56.65,80.39,2,0,,0.8,1.6,1.7,1.2
Portugal,5.76,35.59,74.92,94.18,1,0,2,0.6,1.4,1.0,0.6
Spain,5.54,35.23,75.72,95.23,1,0,,0.6,1.3,1.2,0.6
Turkiye,5.42,28.82,62.40,85.89,1,0,2,0.5,1.3,1.7,1.2
Bahrain,5.35,20.41,46.63,71.18,2,0,,0.7,1.1,1.2,0.9
Slovenia,5.20,35.21,74.91,94.38,1,0,,0.5,1.1,1.1,0.5
Serbia,5.02,32.89,72.57,92.80,1,0,3,0.5,1.6,1.7,0.8
France,4.69,31.52,72.42,93.86,1,0,,0.6,1.5,1.4,0.7
Georgia,4.21,25.49,61.43,87.16,1,0,1,0.5,1.1,1.5,1.0
Kazakhstan,4.09,27.74,66.79,90.70,1,0,,0.5,1.3,1.4,0.8
Belgium (Flemish),3.32,29.17,71.18,94.31,1,0,,0.5,1.5,1.4,0.5
Oman,2.78,13.19,35.43,62.20,1,0,,0.4,1.0,1.4,1.4
Belgium (French),2.72,22.75,61.89,89.37,1,0,2,0.5,1.1,1.6,0.9
Montenegro,2.43,21.26,58.83,86.91,1,0,3,0.3,0.8,1.2,0.7
Brazil ⋈,2.02,12.81,37.13,61.25,1,0,2 †,0.3,1.0,1.6,1.9
Saudi Arabia,1.55,12.43,41.45,71.07,2,0,3,0.3,0.9,1.8,1.6
North Macedonia,1.24,10.52,38.18,69.96,1,0,,0.3,1.1,2.5,2.2
Azerbaijan,0.83,10.99,37.18,67.43,1,0,,0.2,0.9,1.7,1.5
Egypt,0.70,4.91,19.49,44.57,1,0,2 ψ,0.2,0.7,1.4,2.0
Jordan,0.65,5.49,21.70,46.64,1,0,,0.2,0.8,1.6,2.0
South Africa ⋈,0.64,3.04,8.67,19.45,1,0,Ж,0.2,0.5,0.9,1.2
Morocco,0.62,4.80,17.04,40.58,2,0,,0.4,1.0,1.4,1.6
"Iran, Islamic Rep. Of ⋈",0.57,6.58,28.76,58.60,1,0,,0.2,0.6,1.5,2.0
Uzbekistan,0.38,6.86,33.51,69.84,1,0,,0.1,0.7,1.3,1.4
Kosovo,0.29,4.80,27.03,62.08,1,0,2,0.1,0.7,1.3,1.5
International Median,7.25,35.59,74.64,93.65,1,0,,,,,
"Moscow City, Russian Federation",34.72,79.31,96.45,99.68,1,1,,1.6,1.1,0.4,0.1
"Dubai, UAE",23.51,56.13,79.92,91.80,2,1,2,0.8,0.7,0.6,0.4
"Alberta, Canada",11.64,47.48,80.24,94.97,1,1,3 ≡,1.1,1.9,1.5,0.8
"British Columbia, Canada",11.59,45.43,78.89,94.32,1,1,2,1.1,1.9,1.5,0.8
"Quebec, Canada",11.51,52.85,87.93,98.78,2,1,≡,1.3,1.9,1.0,0.3
"Abu Dhabi, UAE",8.57,25.77,45.02,61.09,2,1,,0.6,1.0,1.2,1.2
"Newfoundland & Labrador, Canada",8.22,39.82,74.27,92.51,1,1,2,1.0,1.8,1.6,0.7
South Africa (6) ⋈,3.31,11.29,24.89,44.00,1,1,,0.5,1.0,1.3,1.5